resort_name, resort_state, resort_terrain, resort_latitude, resort_longitude
Arapaho Basin Ski Area, COLORADO, Both, 39.6436, -105.87309
Aspen Highlands Ski Area, COLORADO, Alpine, 39.19111, -106.81694
Aspen Mountain Ski Area, COLORADO, Both, 39.17611, -106.82861
Berthoud Pass Ski Area, COLORADO, Both, 39.79943, -105.78003
Breckenridge Ski Area, COLORADO, Both, 39.47388, -106.07393
Buttermilk Ski Area, COLORADO, Both, 39.19111, -106.81694
Chapman Hill Municipal Ski Area, COLORADO, Both, 37.28308, -107.86952
Conquistador Ski Area, COLORADO, Both, 38.11752, -105.58501
Cooper Hill Ski Area, COLORADO, Both, 39.36055, -106.30228
Copper Mountain Ski Area, COLORADO, Both, 39.48638, -106.16143
Crested Butte Ski Area, COLORADO, Both, 38.88333, -106.94306
Cuchara Valley Ski Area, COLORADO, Both, 37.34781, -105.12583
First Creek Ski Cabin, COLORADO, Alpine, 39.83278, -105.76806
Geneva Basin Ski Area, COLORADO, Both, 39.56806, -105.73031
Guinn Mountain Ski Trail, COLORADO, Alpine, 39.93556, -105.63111
Hesperus Ski Center, COLORADO, Both, 37.29778, -108.05444
Howelsen Hill Ski Area, COLORADO, Both, 40.48276, -106.83896
Idlewild Ski Area, COLORADO, Both, 39.92471, -105.77837
Indian Mountain Ski Area, COLORADO, Both, 39.24472, -105.7292
Jenny Creek Ski Area, COLORADO, Both, 39.93527, -105.58642
Keystone Ski Area, COLORADO, Both, 39.59055, -105.95338
Lake Eldora Ski Area, COLORADO, Both, 39.9361, -105.59087
Loveland Ski Area, COLORADO, Both, 39.67805, -105.90116
Mary Jane Ski Area, COLORADO, Both, 39.86805, -105.77115
Monarch Ski Area, COLORADO, Both, 38.51029, -106.33949
Pikes Peak Ski Area, COLORADO, Both, 38.8864, -105.06167
Powderhorn Ski Area, COLORADO, Both, 39.06749, -108.15899
Purgatory Ski Area, COLORADO, Both, 37.62445, -107.82814
Raton Ski Basin, COLORADO, Both, 37.00528, -104.34611
Rock Creek Ski Area, COLORADO, Both, 40.16082, -105.5367
San Isabel Ski Area, COLORADO, Both, 38.09196, -105.12084
Sevenmile Ski Trail, COLORADO, Alpine, 39.81583, -105.7675
Silver Creek Ski Area, COLORADO, Both, 40.03999, -105.90421
Silver Lake Ski Area, COLORADO, Both, 39.82693, -105.64531
Ski Hi Ranch, COLORADO, Alpine, 37.76472, -107.3475
Snowmass Ski Area, COLORADO, Both, 39.11889, -107.06583
Squaw Pass Ski Area, COLORADO, Both, 39.68527, -105.52002
Stagecoach Ski Area, COLORADO, Both, 40.24442, -106.8673
Steamboat Ski Area, COLORADO, Both, 40.45637, -106.77285
Stoner Ski Area, COLORADO, Both, 37.58418, -108.32009
Telluride Ski Area, COLORADO, Both, 37.92612, -107.84342
Tenderfoot Ski Area, COLORADO, Both, 38.76751, -105.14862
Vail Ski Area, COLORADO, Both, 39.61416, -106.37505
Winter Park Ski Area, COLORADO, Both, 39.88332, -105.77392
Mohawk Mountain Ski Area, CONNECTICUT, Both, 41.83167, -73.30778
Mt. Southington Ski Area, CONNECTICUT, Both, 41.5825, -72.92556
Northview Ski Slope, CONNECTICUT, Both, 41.75056, -72.52667
Powder Ridge Ski Area, CONNECTICUT, Both, 41.51722, -72.7125
Ski Sundown, CONNECTICUT, Both, 41.88222, -72.9775
Winding Trails Cross Country Ski Cen, CONNECTICUT, Alpine, 41.75528, -72.84611
Woodbury Ski Area, CONNECTICUT, Both, 41.79833, -73.34917
Sky Valley Ski Area, GEORGIA, Both, 34.9875, -83.33333
Bald Mountain Ski Area, IDAHO, Both, 43.655, -114.40833
Bear Gulch Ski Area, IDAHO, Both, 44.14964, -111.28914
Blizzard Mountain Ski Area, IDAHO, Both, 43.50823, -113.55921
Caribou Ski Area, IDAHO, Both, 42.86825, -112.33139
City Ski Area, IDAHO, Both, 43.82905, -115.82262
Dollar Mountain Ski Area, IDAHO, Both, 43.67917, -114.34222
Hitt Mountain Ski Area, IDAHO, Both, 44.62931, -116.92822
Kelly Canyon Ski Area, IDAHO, Both, 43.64575, -111.62999
Lamarack Ski Area, IDAHO, Both, 46.81569, -116.82547
Little Lost Ski Area, IDAHO, Both, 43.83324, -113.19448
Lolo Pass Ski Area, IDAHO, Both, 46.63655, -114.57652
Lookout Pass Ski Area, IDAHO, Both, 47.45488, -115.69684
Magic Mountain Ski Area, IDAHO, Both, 42.18824, -114.2856
North-South Ski Bowl, IDAHO, Both, 47.06583, -116.65667
Payette Lake Ski Area, IDAHO, Alpine, 44.92821, -116.16181
Payette Lakes Ski Area, IDAHO, Both, 44.92988, -116.1632
Pebble Creek Ski Area, IDAHO, Both, 42.77575, -112.15276
Pine Basin Ski Area, IDAHO, Both, 43.53159, -111.3272
Pine Street Ski Area, IDAHO, Both, 48.28348, -116.62578
Pomerelle Ski Area, IDAHO, Both, 42.31213, -113.61197
Schweitzer Basin Ski Area, IDAHO, Both, 48.38654, -116.61328
Silverhorn Ski Area, IDAHO, Both, 47.48959, -116.13714
Snow Haven Ski Area, IDAHO, Both, 45.86904, -116.09127
Taylor Mountain Ski Area, IDAHO, Both, 43.32548, -111.93082
Chestnut Mountain, ILLINOIS, Both, 42.41667, -90.42889
Four Lakes Village, ILLINOIS, Both, 41.80111, -88.07472
Raging Buffalo Snowboard Park, ILLINOIS, Both, 42.16556, -88.29417
Ski Snow Star, ILLINOIS, Both, 41.38667, -90.66806
Villa Olivia Ski Area, ILLINOIS, Both, 42.0125, -88.22
Paoli Peaks Ski Area, INDIANA, Both, 38.55611, -86.46833
Perfect North Ski Area, INDIANA, Both, 39.09083, -84.85
Pines Peak Ski Area, INDIANA, Both, 41.47306, -87.06111
Ski World, INDIANA, Both, 39.20722, -86.25111
Fun Valley Ski Area, IOWA, Both, 41.56667, -92.58194
Mt. Crescent Ski Area, IOWA, Both, 41.39333, -95.86389
Nor-Ski Runs Ski Area, IOWA, Both, 43.325, -91.81389
Riverside Hills Ski Area, IOWA, Both, 43.3875, -94.83333
Seven Oaks Ski Area, IOWA, Both, 42.05972, -93.88
Big Squaw Ski Area, MAINE, Both, 45.48417, -69.71167
Big rock-Mars Hill Ski Area, MAINE, Both, 46.52139, -67.81417
Black Mountain Ski Area, MAINE, Both, 44.58472, -70.6375
Camden Snow Bowl, MAINE, Both, 44.20972, -69.06528
Eaton Mountain Ski Area, MAINE, Both, 44.76528, -69.62556
Lost Valley Ski Area, MAINE, Both, 44.13611, -70.28056
Mt. Abram Ski Area, MAINE, Both, 44.4, -70.7025
Mt. Jefferson Ski Area, MAINE, Both, 45.36389, -68.28472
New Hermon Mountain Ski Area, MAINE, Both, 44.84222, -68.87417
Saddleback Mountain Ski Area, MAINE, Both, 44.94722, -70.52778
Shawnee peak Ski Area, MAINE, Both, 44.05472, -70.71333
Spruce Mountain Ski Area, MAINE, Both, 44.55639, -70.20056
Sugarloaf Ski Area, MAINE, Both, 45.06611, -70.27389
Sunday River Ski Area, MAINE, Both, 44.46556, -70.86389
Titcomb Ski Area, MAINE, Both, 44.64861, -70.17167
Wisp - McHenry Ski Area, MARYLAND, Both, 39.55833, -79.35306
Atlantic Forest Ski Area, MASSACHUSETTS, Both, 42.86833, -70.93472
Berkshire Show Basin Ski Area, MASSACHUSETTS, Both, 42.48722, -72.48722
Blandford Ski Area, MASSACHUSETTS, Both, 42.19556, -72.9175
Blue Hills Ski Area, MASSACHUSETTS, Both, 42.24306, -71.09861
Boston Hill Ski Area, MASSACHUSETTS, Both, 42.64917, -71.09472
Bousquet Ski Area, MASSACHUSETTS, Both, 42.41611, -73.27972
Bradford Ski Area, MASSACHUSETTS, Both, 42.74361, -71.05944
Brodie Mountain Ski Area, MASSACHUSETTS, Both, 42.59528, -73.26278
Bucksteep Cross-Country Ski Area, MASSACHUSETTS, Alpine, 42.35944, -73.13417
Butternut Basin Ski Area, MASSACHUSETTS, Both, 42.17028, -73.31472
Catamount Ski Area, MASSACHUSETTS, Both, 42.42722, -73.25944
Charlemont Ski Area, MASSACHUSETTS, Both, 42.62778, -72.87028
Cherry Hill Cross Country Ski Center, MASSACHUSETTS, Alpine, 42.41944, -72.52111
East Mountain Ski Touring Center, MASSACHUSETTS, Alpine, 42.15861, -72.69278
Groton Hills Ski Area, MASSACHUSETTS, Both, 42.62306, -71.54111
Jericho Hill Ski Slope, MASSACHUSETTS, Both, 42.32917, -71.55972
Jiminy Peak Ski Area, MASSACHUSETTS, Both, 42.55083, -73.29139
Klein-Innsbruck Ski Area, MASSACHUSETTS, Both, 42.08333, -71.39722
Mount Greylock Ski Club, MASSACHUSETTS, Both, 42.63306, -73.21583
Mount Tom Ski and Recreation Area, MASSACHUSETTS, Alpine, 42.24861, -72.63333
Nashoba Valley Ski Area, MASSACHUSETTS, Both, 42.54417, -71.46611
Otis Ridge Ski Area, MASSACHUSETTS, Both, 42.19583, -73.1
Pine Ridge Ski Area, MASSACHUSETTS, Both, 42.40194, -72.10556
Prospect Hill Ski Area, MASSACHUSETTS, Both, 42.39444, -71.25056
Sodom Mountain Ski Area, MASSACHUSETTS, Both, 42.07861, -72.81833
Stony Ledge Ski Trail, MASSACHUSETTS, Alpine, 42.64417, -73.20778
Thunderbolt Ski Trail, MASSACHUSETTS, Alpine, 42.6375, -73.1525
Wachusett Mountain Ski Area, MASSACHUSETTS, Both, 42.49944, -71.88694
Ward Hill Ski Area, MASSACHUSETTS, Both, 42.29583, -71.71333
Weston XC Ski Trail, MASSACHUSETTS, Alpine, 42.36667, -71.30361
Williams College Ski Area, MASSACHUSETTS, Both, 42.70083, -73.27972
ABR Cross Country Ski, MICHIGAN, Alpine, 46.45472, -90.17083
Addis Lakes Ski Trail, MICHIGAN, Alpine, 46.34444, -86.80806
Alpine Valley Ski Area, MICHIGAN, Both, 42.69167, -83.55417
Alquaal - Ishpeming Ski Area, MICHIGAN, Both, 46.48861, -87.6675
Apple Mountain Ski Area, MICHIGAN, Both, 43.47056, -84.1075
Big Powderhorn Mt. Ski Area, MICHIGAN, Both, 46.48139, -90.05278
Bittersweet Ski Area, MICHIGAN, Both, 42.46056, -85.69639
Blackjack Ski Area, MICHIGAN, Both, 46.48139, -90.05278
Boyne Highlands Ski Area, MICHIGAN, Both, 45.46861, -84.92222
Boyne Mountain Ski Area, MICHIGAN, Both, 45.15861, -84.93889
Briar Hill Ski Jump, MICHIGAN, Both, 44.39861, -85.66667
Brule Mountain Ski Area, MICHIGAN, Both, 46.02917, -88.70694
Caberfae Peaks Ski Area, MICHIGAN, Both, 44.2225, -85.69944
Cannonsburg Ski Area, MICHIGAN, Both, 43.05389, -85.46972
Chatham Hill Ski Area, MICHIGAN, Both, 46.35694, -86.88667
Chatham Ski Trail, MICHIGAN, Alpine, 46.36139, -86.89194
Crystal Mountain Ski Area, MICHIGAN, Both, 44.51972, -85.99167
Gladstone Ski Park, MICHIGAN, Both, 45.89472, -87.02889
Hanson Hills Ski Area, MICHIGAN, Both, 44.64444, -84.75528
Harbor Highlands Ski Club, MICHIGAN, Both, 45.46778, -84.93583
Hickory Hills Ski Area, MICHIGAN, Both, 44.76306, -85.62056
Hidden Valley Resort, MICHIGAN, Both, 45.03194, -84.65222
Homestead Ski Area, MICHIGAN, Both, 44.8975, -85.98528
Hungerford Cross Country Ski Trail, MICHIGAN, Alpine, 43.71306, -85.62722
Indianhead Mountain Ski Area, MICHIGAN, Both, 46.47528, -89.93972
Iroquois Mountain Ski Area, MICHIGAN, Both, 46.4775, -84.68611
Maple Mountain Ski Area, MICHIGAN, Both, 46.40278, -86.65333
Marquette Mountain Ski Area, MICHIGAN, Both, 46.54361, -87.39528
McKenzie Ski Trial, MICHIGAN, Alpine, 44.23889, -85.72917
Mio Mountain Ski Area, MICHIGAN, Both, 44.63778, -84.14
Missaukee Mountain Ski Area, MICHIGAN, Both, 44.33528, -85.215
Mont Ripley Ski Area, MICHIGAN, Both, 47.12194, -88.56889
Mount Brighton Ski Area, MICHIGAN, Both, 42.53806, -83.80694
Mt. Holiday Ski Area, MICHIGAN, Both, 44.76306, -85.62056
Mt. Holly Ski Area, MICHIGAN, Both, 42.82806, -83.56722
Mt. Mcsauba Ski Area, MICHIGAN, Both, 45.33417, -85.24528
Mt. Zion Ski Area, MICHIGAN, Both, 46.47722, -90.16778
Mulligans Ski Area, MICHIGAN, Both, 43.05694, -86.24
Norway Mountain Ski Area, MICHIGAN, Alpine, 45.78694, -87.90361
Norway Mt., MICHIGAN, Cross-Country, 45.78694, -87.90361
Nubs Nob Ski Area, MICHIGAN, Both, 45.46833, -84.90361
Pando Ski Area, MICHIGAN, Both, 43.12, -85.56
Petoskey Ski Area, MICHIGAN, Both, 45.37333, -84.95528
Pine Knob Ski Area, MICHIGAN, Both, 42.74222, -83.36722
Pine Mountain Ski Area, MICHIGAN, Both, 45.83306, -88.08194
Pioneer Ski Hill, MICHIGAN, Both, 44.49694, -84.66833
Porcupine Ski Area, MICHIGAN, Both, 46.68917, -89.85
Shanty Creek Ski Area, MICHIGAN, Both, 44.92806, -85.20917
Sheridan Valley Ski Area, MICHIGAN, Both, 44.92444, -84.24167
Skyline Ski Slide, MICHIGAN, Both, 44.57389, -84.69083
Snow Snake Mt. Ski Area, MICHIGAN, Both, 44.01917, -84.79944
Snow Valley Ski Club, MICHIGAN, Both, 44.95889, -84.71028
Sugar Loaf Ski Area, MICHIGAN, Both, 44.91306, -85.81917
Summit Ski Club, MICHIGAN, Both, 42.74667, -83.72944
Swiss Valley Ski Area, MICHIGAN, Both, 41.9025, -85.79944
Timber Ridge Ski Area, MICHIGAN, Both, 42.36083, -85.87944
Tree Tops Sylvan Ski Area, MICHIGAN, Both, 45.0275, -84.67472
Valley Spur Ski Trail, MICHIGAN, Alpine, 46.36306, -86.69944
Afton Alps Ski Area, MINNESOTA, Both, 44.74333, -92.85222
Andes Tower Hills Ski Area, MINNESOTA, Both, 45.77806, -95.69583
Blue Fin XC Area, MINNESOTA, Cross-Country, 48.46333, -92.93722
Buck Hill Ski Area, MINNESOTA, Both, 44.72306, -93.28694
Buena Vista Ski Area, MINNESOTA, Both, 47.65833, -94.87778
Cascade Lodge XC Trail, MINNESOTA, Cross-Country, 47.66417, -90.71222
Chester Bowl Ski Area, MINNESOTA, Both, 46.78333, -92.10639
Coffee Mill Ski Area, MINNESOTA, Both, 44.36889, -92.08306
Detroit Mountain Ski Area, MINNESOTA, Both, 46.81639, -95.78306
Giants Ridge Ski Area, MINNESOTA, Both, 47.57556, -92.30056
Hyland Hills Ski Area, MINNESOTA, Both, 44.83056, -93.37111
Lutsen Mountains Ski Area, MINNESOTA, Both, 47.66417, -90.71222
Mount Frontenac Ski Area, MINNESOTA, Both, 44.51111, -92.35639
Mount Kato Ski Area, MINNESOTA, Both, 44.16361, -93.99917
Powder Ridge Ski Area, MINNESOTA, Both, 45.3125, -94.3
Quadna Mountain Ski Area, MINNESOTA, Both, 46.96306, -93.58667
Rainbow Resort XC Trail, MINNESOTA, Cross-Country, 47.18056, -95.93889
Shingobee Ski Area, MINNESOTA, Both, 47.03528, -94.6425
Ski Gull Ski Area, MINNESOTA, Both, 46.35806, -94.20056
Spirit Mountain Ski Area, MINNESOTA, Both, 46.78333, -92.10639
Welch Village Ski Area, MINNESOTA, Both, 44.56833, -92.73833
Wild Mountain Ski Area, MINNESOTA, Both, 45.48694, -92.71306
Hidden Valley Ski Area, MISSOURI, Both, 38.5025, -90.62778
Snow Bluff Ski Area, MISSOURI, Both, 37.45778, -93.34778
Snow Creek Ski Area, MISSOURI, Both, 36.96639, -90.3525
Africa Ski Trail, MONTANA, Alpine, 45.28083, -111.40583
Alpine Access Ski Trail, MONTANA, Alpine, 45.81722, -110.89583
Alpinglow Alley Ski Trail, MONTANA, Alpine, 48.485, -114.35278
Arkansas Traveller Ski Trail, MONTANA, Alpine, 46.83861, -110.70806
Atlantic Cable Ski Trail, MONTANA, Alpine, 46.25639, -113.24111
Auto Bahn Ski Trail, MONTANA, Alpine, 45.1875, -109.35
B-2 Ski Trail, MONTANA, Alpine, 45.69306, -113.95139
Back Side of the Moon Ski Trail, MONTANA, Alpine, 48.605, -115.62944
Bear Canyon Ski Lodge, MONTANA, Both, 45.60694, -110.92194
Bear Paw Ski Bowl, MONTANA, Both, 48.17778, -109.63333
Big Mt., MONTANA, Cross-Country, 48.485, -114.35278
Big Sky Ski Area, MONTANA, Both, 45.28074, -111.40583
Big Sky Ski Trail, MONTANA, Alpine, 47.02361, -113.99639
Blacktail Ski Area, MONTANA, Both, 48.01656, -114.3732
Bridger Bowl Ski Area, MONTANA, Both, 45.81713, -110.89666
Butte Ski Club, MONTANA, Both, 45.9525, -112.60056
Castle Hill Ski Area, MONTANA, Both, 46.9502, -109.38135
Deep Creek Ski Area, MONTANA, Both, 45.90407, -113.11396
Discovery Basin Ski Area, MONTANA, Both, 46.25629, -113.24202
Essex Cross Country Ski Area, MONTANA, Cross-Country, 48.27378, -113.62485
Foothills Cross Country Ski Area, MONTANA, Alpine, 48.14295, -113.99264
Foothills Cross-Country Ski Area, MONTANA, Alpine, 48.13961, -113.99875
Foy Lake Cross Country Ski Area, MONTANA, Alpine, 48.14878, -114.35515
Grass Mountain Ski Area, MONTANA, Both, 46.35602, -111.10667
Lakeview Mountain Ski Area, MONTANA, Both, 44.58991, -111.81362
Lionhead Ski Area, MONTANA, Both, 44.69548, -111.2911
Lubrecht Camp Ski Area, MONTANA, Both, 46.89545, -113.44815
Marshall Ski Area, MONTANA, Both, 46.91989, -113.90677
Maverick Mountain Ski Area, MONTANA, Both, 45.4349, -113.1295
Montana Snow Bowl, MONTANA, Cross-Country, 47.02361, -113.99639
Red Lodge Mountain Ski Area, MONTANA, Both, 45.19021, -109.35077
Rocky Mountain Hi Ski Area, MONTANA, Both, 47.79157, -112.75148
Round Meadow Country Ski Area, MONTANA, Alpine, 48.4585, -114.52905
Round Meadow Cross Country Ski Area, MONTANA, Cross-Country, 48.45822, -114.54127
Snow Bowl Ski Area, MONTANA, Both, 47.0235, -113.99734
Snow Park Ski Area, MONTANA, Alpine, 47.01433, -114.02956
Turner Mountain Ski Area, MONTANA, Alpine, 48.60488, -115.63047
Wraith Hill Ski Area, MONTANA, Alpine, 46.17184, -113.21174
Heavenly Valley Ski Area, NEVADA, Both, 38.93769, -119.90878
Incline Ski Area, NEVADA, Both, 39.25379, -119.9235
Lee Canyon Ski Area, NEVADA, Both, 36.3036, -115.67974
Mount Rose Ski Area, NEVADA, Both, 39.32907, -119.88572
Old Mill Cross Country Ski Area, NEVADA, Alpine, 36.32055, -115.67752
Sky Tavern Ski Area, NEVADA, Both, 39.33657, -119.8735
Sky Tavern Ski Area, NEVADA, Alpine, 39.33796, -119.901
Slide Mountain Ski Area, NEVADA, Both, 39.31879, -119.87128
Abenaki Ski Area, NEW HAMPSHIRE, Both, 43.61139, -71.22833
Alpine Ridge Ski Area, NEW HAMPSHIRE, Both, 43.54583, -71.36889
Attitash Bear Peak Ski Area, NEW HAMPSHIRE, Both, 44.08278, -71.23
Balsams-Wilderness Ski Area, NEW HAMPSHIRE, Both, 44.85694, -71.79389
Bear Mountain Ski Trail, NEW HAMPSHIRE, Alpine, 44.04583, -71.2975
Black Mountain Ski Areal, NEW HAMPSHIRE, Both, 44.16722, -71.16472
Black Water Ski Area, NEW HAMPSHIRE, Both, 43.24194, -70.91667
Bretton Woods Ski Area, NEW HAMPSHIRE, Both, 44.25417, -71.46111
Brookline Ski Area, NEW HAMPSHIRE, Both, 42.73611, -71.69167
Cannon Mountain Ski Area, NEW HAMPSHIRE, Both, 44.17722, -71.70194
Dartmouth Skiway, NEW HAMPSHIRE, Both, 43.78694, -72.10083
Doublehead Ski Trail, NEW HAMPSHIRE, Alpine, 44.16861, -71.14
Eastman Ski Area, NEW HAMPSHIRE, Both, 43.52222, -72.12917
Elgin Kirby Ski Area, NEW HAMPSHIRE, Both, 43.26333, -71.53472
Franconia Cross Country Center, NEW HAMPSHIRE, Alpine, 44.22694, -71.74833
Great Glen Trails, NEW HAMPSHIRE, Both, 44.38778, -71.17361
Gunstock Ski Area, NEW HAMPSHIRE, Both, 43.52556, -71.37889
Highland Ski Area, NEW HAMPSHIRE, Both, 43.40528, -71.55417
Indian Mound Ski Area, NEW HAMPSHIRE, Both, 42.86278, -71.04722
Intervale Ski Area, NEW HAMPSHIRE, Both, 44.10444, -71.14083
Jackson Ski Touring Foundation, NEW HAMPSHIRE, Alpine, 44.145, -71.18583
King Pine Ski Area, NEW HAMPSHIRE, Both, 43.87083, -71.09167
King Ridge Ski Area, NEW HAMPSHIRE, Both, 43.37194, -71.99028
Loon Mountain Ski Area, NEW HAMPSHIRE, Both, 44.05667, -71.63028
McIntyre Ski Area, NEW HAMPSHIRE, Both, 43.00417, -71.43944
Moose Mountain Ski Area, NEW HAMPSHIRE, Both, 43.53278, -71.07806
Mount Cranmore Ski Area, NEW HAMPSHIRE, Both, 44.05556, -71.09389
Mount Sunapee Ski Area, NEW HAMPSHIRE, Both, 43.34056, -72.07139
Mount Tecumseh Ski Area, NEW HAMPSHIRE, Both, 43.96278, -71.54222
Mount Whittier Ski Area, NEW HAMPSHIRE, Both, 43.80806, -71.21444
Nestlenook Farm on the River Ski Are, NEW HAMPSHIRE, Both, 44.16333, -71.14167
Norsk Cross Country Resort, NEW HAMPSHIRE, Alpine, 43.41389, -71.98556
Number Five Ski Trail, NEW HAMPSHIRE, Alpine, 44.09722, -71.12139
Ossipee Mountain Ski Area, NEW HAMPSHIRE, Both, 43.76, -71.35417
Pats Peak Ski Area, NEW HAMPSHIRE, Both, 43.16222, -71.79667
Pinnacle Mountain Ski Area, NEW HAMPSHIRE, Both, 42.97083, -72.21306
Purity Springs Ski Area, NEW HAMPSHIRE, Both, 43.86111, -71.08889
Ragged Mountain Ski Area, NEW HAMPSHIRE, Both, 43.47639, -71.84306
Roads End Farm Ski Area, NEW HAMPSHIRE, Both, 42.88861, -72.44611
Snapper Ski Trail, NEW HAMPSHIRE, Alpine, 43.99722, -71.82722
Storrs Hill Ski Area, NEW HAMPSHIRE, Both, 43.63389, -72.25167
Temple Mountain Ski Area, NEW HAMPSHIRE, Both, 42.84444, -71.88639
Tenney Mountain Ski Area, NEW HAMPSHIRE, Both, 43.73583, -71.79389
Tuckerman's Ravine Ski Area, NEW HAMPSHIRE, Both, 44.26306, -71.27528
Waterville Valley Ski Area, NEW HAMPSHIRE, Both, 43.96528, -71.52917
Whaleback Ski Resort, NEW HAMPSHIRE, Both, 44.08722, -71.62
Wildcat Mountain Ski Area, NEW HAMPSHIRE, Both, 44.26, -71.23528
Campgaw Mountain Ski Area, NEW JERSEY, Both, 41.05417, -74.19972
Hidden Valley Ski Area, NEW JERSEY, Both, 41.19833, -74.4836
High Point XC Ski Trail, NEW JERSEY, Alpine, 41.32056, -74.66194
Mountain Creek Ski Area, NEW JERSEY, Both, 41.19833, -74.4836
Adventure Ski Trail, NEW MEXICO, Alpine, 36.38778, -105.27222
Alpine Ski Trail, NEW MEXICO, Alpine, 35.79111, -105.79444
Als Run, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Als Run Ski Area, NEW MEXICO, Alpine, 36.59449, -105.45278
Ambush Ski Trail, NEW MEXICO, Alpine, 33.39722, -105.78806
Angel Fire Ski Area, NEW MEXICO, Alpine, 36.38033, -105.23555
Angel Fire Ski Area, NEW MEXICO, Both, 36.38422, -105.27222
Arriba Ski Trail, NEW MEXICO, Alpine, 36.43778, -105.27222
Aspen Bowl Ski Area, NEW MEXICO, Both, 35.20701, -106.41836
Aspen Glade Ski Trail, NEW MEXICO, Alpine, 35.20694, -106.41806
